Length,0 Control,0->1->0,1->0->1,1 Control (0->1->0),1 Control (1->0->1)
0,112899,200016,28935,83051,5125
1,7435,84460,14263,89181,2326
2,8455,61422,16067,113855,2596
3,13307,57067,21603,133569,4190
4,18193,52564,27212,142025,4821
5,21082,49880,32159,153996,5772
6,24442,43722,38170,142100,7474
7,38992,48384,49746,135942,10191
8,40161,43977,55374,120814,11954
9,42536,40820,59596,105477,13505
10,45032,38694,61855,91510,15601
11,44710,36564,61495,77047,17365
12,43387,34747,59499,64005,18885
13,42215,33865,56412,52663,20929
14,40939,32686,53779,43314,22680
15,39877,31679,50493,34650,24677
16,38498,31196,47595,27981,27102
17,36324,29854,43974,22957,28392
18,34158,28777,40660,18418,30147
19,31056,27263,37835,14673,31681
20,28432,25977,34265,11875,32727
21,25794,24255,31774,9599,33879
22,24082,23075,29180,8150,34539
23,21685,22423,26817,6446,35161
24,20121,21374,25245,5377,35565
25,19027,20405,23647,4537,36066
26,17507,19379,22292,3688,36174
27,16787,18996,20715,3265,36043
28,15917,18263,19801,2708,35827
29,15273,18094,18836,2166,35922
30,14936,17919,18141,1865,35505
31,14407,17463,17405,1560,34994
32,14129,17429,16812,1442,34658
33,13881,17157,16290,1114,34178
34,13710,16955,15714,975,33751
35,13895,16983,15304,805,32922
36,13585,16922,14477,735,32632
37,13169,17345,14346,640,32050
38,13306,16866,13958,526,31556
39,12959,16672,13831,479,30608
40,12860,17154,13453,422,29998
41,12725,16594,12900,382,29039
42,12571,16430,12480,339,28467
43,12332,16249,12218,338,27905
44,12190,16550,11647,279,27421
45,12091,16387,11265,248,26634
46,11616,16194,11156,196,25796
47,11525,16087,10731,211,25256
48,11527,15757,10596,190,24401
49,11146,15589,10024,179,23876
50,10805,15534,9979,171,22913
51,10572,15288,9588,151,22322
52,10312,15121,9367,122,21617
53,9967,14953,9241,144,20833
54,9859,14676,8781,91,20098
55,9854,14471,8497,132,19593
56,9252,13897,8238,107,18728
57,9148,13820,8112,97,18367
58,8754,13668,7941,108,17890
59,8554,13403,7543,86,17082
