Bin Number,0 Control,0->1->0,1->0->1,1 Control (0->1->0),1 Control (1->0->1)
1,-5.78E-19,0.192622137,0.926474686,1,1
2,-5.78E-19,0.192622137,0.926474686,1,1
3,-5.78E-19,0.192622137,0.926474686,1,1
4,-5.78E-19,0.192622137,0.926474686,1,1
5,-5.78E-19,0.192622137,0.926474686,1,1
6,-5.78E-19,0.192622137,0.926474686,1,1
7,-5.78E-19,0.192622137,0.926474686,1,1
8,-5.78E-19,0.192622137,0.926474686,1,1
9,2.89E-19,0.193012375,0.926599659,1,1
10,0,0.193890181,0.926921655,1,1
11,1.16E-18,0.194799647,0.927430971,1,1
12,-5.78E-19,0.196479184,0.928213951,1,1
13,5.78E-19,0.197284735,0.928818705,1,1
14,0,0.198819891,0.930877344,1,1
15,-1.16E-18,0.199195202,0.932605255,1,1
16,5.78E-19,0.201455024,0.93414002,1,1
17,-5.78E-19,0.201754486,0.93766859,1,1
18,-1.16E-18,0.203348221,0.938097436,1,1
19,-5.78E-19,0.20509371,0.938793025,1,1
20,1.73E-18,0.205637808,0.93955389,1,1
21,0,0.20660708,0.942611237,1,1
22,-1.73E-18,0.206501029,0.943247624,1,1
23,0,0.206947885,0.943866385,1,1
24,5.78E-19,0.207175756,0.945422536,1,1
25,-1.16E-18,0.206750934,0.944286822,1,1
26,0,0.205868204,0.944313052,1,1
27,-5.78E-19,0.206175042,0.945033785,1,1
28,2.31E-18,0.207315115,0.944478368,1,1
29,1.73E-18,0.208335067,0.94390601,1,1
30,1.73E-18,0.208310008,0.942265754,1,1
31,-2.31E-18,0.208917169,0.941051157,1,1
32,1.73E-18,0.210606436,0.940371041,1,1
33,0,0.210858874,0.938098947,1,1
34,1.16E-18,0.210431986,0.937092339,1,1
35,1.73E-18,0.210246997,0.933475126,1,1
36,0,0.210258869,0.929193733,1,1
37,5.78E-19,0.20919908,0.926660449,1,1
38,-5.78E-19,0.209188616,0.925908483,1,1
39,-2.31E-18,0.206416008,0.922378991,1,1
40,5.78E-19,0.20704682,0.920895575,1,1
41,-5.78E-19,0.20491512,0.917016751,1,1
42,5.78E-19,0.205485315,0.916428156,1,1
43,0,0.20484453,0.912171307,1,1
44,-1.16E-18,0.205691833,0.909022015,1,1
45,5.78E-19,0.205209986,0.904444883,1,1
46,1.45E-18,0.205574917,0.904461269,1,1
47,8.67E-19,0.203171975,0.902158094,1,1
48,-1.16E-18,0.203658541,0.902148873,1,1
49,0,0.20107392,0.899436031,1,1
50,1.45E-18,0.201049217,0.897110881,1,1
51,-2.02E-18,0.19826789,0.893152757,1,1
52,5.78E-19,0.198241892,0.892785833,1,1
53,-1.73E-18,0.198510323,0.892525761,1,1
54,-8.67E-19,0.194862975,0.889205962,1,1
55,8.67E-19,0.195095065,0.889513256,1,1
56,2.89E-19,0.193255749,0.886835723,1,1
57,-3.47E-18,0.190316214,0.885432968,1,1
58,2.02E-18,0.190570413,0.885506877,1,1
59,2.02E-18,0.190438745,0.885497113,1,1
60,-1.16E-18,0.185261202,0.881750377,1,1
61,-1.59E-18,0.186315368,0.880097128,1,1
62,7.23E-19,0.187455677,0.878880697,1,1
63,-8.67E-19,0.186864042,0.878092518,1,1
64,-6.60E-19,0.181405946,0.877075116,1,1
65,-2.49E-18,0.181598044,0.876355071,1,1
66,-1.26E-18,0.182929971,0.875305491,1,1
67,2.37E-18,0.182275673,0.875530206,1,1
68,-5.78E-19,0.174027179,0.876917647,1,1
69,6.51E-19,0.17464242,0.877144922,1,1
70,-6.51E-19,0.174521783,0.874136006,1,1
71,6.51E-19,0.175244263,0.873295565,1,1
72,-6.51E-19,0.175304931,0.871979919,1,1
73,-3.61E-20,0.166018698,0.870919669,1,1
74,-6.51E-19,0.166607804,0.869672011,1,1
75,5.78E-19,0.166599982,0.869670955,1,1
76,6.51E-19,0.165381714,0.867163605,1,1
77,6.32E-19,0.165762125,0.866415847,1,1
78,1.26E-18,0.15600043,0.863631977,1,1
79,-1.23E-18,0.155856665,0.863085631,1,1
80,1.88E-18,0.155301349,0.860940041,1,1
81,-7.23E-19,0.153461729,0.858519779,1,1
82,-6.87E-19,0.15293428,0.857618995,1,1
83,1.81E-18,0.15384315,0.856163909,1,1
84,7.23E-20,0.153437163,0.85629226,1,1
85,-1.30E-18,0.145494493,0.855600066,1,1
86,0,0.144644699,0.855099779,1,1
87,5.78E-19,0.144797574,0.853412118,1,1
88,0,0.14355689,0.85119261,1,1
89,1.23E-18,0.144691713,0.850816123,1,1
90,-1.88E-18,0.144313333,0.848378425,1,1
91,-7.23E-19,0.143502973,0.848527715,1,1
92,5.78E-19,0.135320754,0.849017772,1,1
93,0,0.135433412,0.849160246,1,1
94,-8.67E-19,0.136080722,0.847415154,1,1
95,0,0.13649827,0.845517187,1,1
96,2.31E-18,0.135098115,0.843958443,1,1
97,0,0.133446097,0.840179001,1,1
98,-5.78E-19,0.133876131,0.837531815,1,1
99,-1.45E-19,0.134118921,0.837145336,1,1
100,5.78E-19,0.134493433,0.834521298,1,1
101,-5.78E-19,0.125274492,0.832439636,1,1
102,-1.73E-18,0.124660742,0.831939642,1,1
103,-1.16E-18,0.124715814,0.830810803,1,1
104,-1.16E-18,0.124080799,0.830738394,1,1
105,8.67E-19,0.126026486,0.829984377,1,1
106,1.16E-18,0.125650519,0.830327974,1,1
107,8.67E-19,0.12349715,0.827443597,1,1
108,-1.16E-18,0.122896503,0.826434187,1,1
109,-1.16E-18,0.123871353,0.826238711,1,1
110,-2.89E-19,0.124627588,0.824800408,1,1
111,-5.78E-19,0.125206667,0.822914597,1,1
112,2.89E-19,0.125375604,0.823792182,1,1
113,1.16E-18,0.114511279,0.823072674,1,1
114,-8.67E-19,0.114268532,0.820883946,1,1
115,-2.89E-19,0.115677413,0.819496668,1,1
116,-8.67E-19,0.116445815,0.816101288,1,1
117,2.31E-18,0.116247513,0.814068533,1,1
118,-1.16E-18,0.114330149,0.811245881,1,1
